Equipamento;Data/Hora;Apertura do Rolo;Codigo da Operacao;Codigo Frente (digitada);Corporativo;Corte Base Automatico/Manual;Descricao Equipamento;Estado;Estado Operacional;Esteira Ligada;Field Cruiser;Grupo Equipamento/Frente;Grupo Operacao;Horimetro;Implemento Ligado;Justificativa Corte Base Desligado;Latitude;Longitude;Motor Ligado;Operacao;Operador;Pressao de Corte;Regional;RPM Extrator;RPM Motor;RTK (Piloto Automatico);Tipo de Equipamento;Trabalhando em Fila;Trabalhando Frente Dividida;Unidade;Fazenda;Zona;Talhao;Velocidade;Centro de Custo
7041;12/04/2025 00:00:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.66089948;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:01:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660902659;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:02:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660902659;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:03:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660886765;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:04:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660893122;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:05:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660889943;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:31:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660880407;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:37:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660877228;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:38:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660877228;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:39:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660877228;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:40:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660867691;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:41:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:42:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:43:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660851796;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:44:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660867691;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 00:45:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:11:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405629476;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:14:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660839081;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:15:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.66084226;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:16:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.66084226;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:17:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660829544;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:18:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660839081;-50.405623118;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:20:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660839081;-50.405661265;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:21:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660832723;-50.405673981;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:23:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660845439;-50.405673981;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:24:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660832723;-50.405673981;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:25:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660839081;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:26:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660845439;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:27:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:28:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660845439;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:29:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:30:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660839081;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:31:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660839081;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:55:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660864512;-50.405673981;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:56:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660861333;-50.405673981;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:57:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405661265;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:58:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 01:59:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660845439;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:00:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660858154;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:01:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660851796;-50.405654907;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:02:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660861333;-50.405642192;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:03:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:04:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405648549;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:11:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405661265;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:12:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660861333;-50.405680339;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:13:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405680339;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:14:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405680339;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:15:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660851796;-50.405686696;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:16:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660829544;-50.405699412;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:17:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660832723;-50.405686696;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:18:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.66084226;-50.405699412;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:19:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660839081;-50.40570577;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:20:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660835902;-50.40570577;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:21:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660835902;-50.405699412;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:36:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660820007;-50.405680339;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:37:17;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660835902;-50.405673981;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:58:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.66084226;-50.40570577;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 02:59:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660845439;-50.405712128;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:00:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405718486;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:01:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660845439;-50.405712128;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:02:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660832723;-50.40570577;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:03:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660839081;-50.40570577;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:04:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.40570577;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:05:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660845439;-50.405699412;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:06:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660851796;-50.405712128;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:07:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405712128;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:08:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660845439;-50.405712128;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:09:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405712128;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:10:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405718486;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:11:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660861333;-50.405731201;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:12:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660854975;-50.405718486;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:19:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660861333;-50.405686696;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:20:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405699412;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
7041;12/04/2025 03:22:21;-1;8040;1;IB LOGISTICA;0;COLHEDORA;PARADA;PARADA;0;0;FRENTE 03;Manutenção;2542.15;0;;-19.660848618;-50.405712128;0;8040 - MANUTENCAO CORRETIVA;1 - SEM OPERADOR;0;IB LOGISTICA;0;0;0;COLHEDORA;Nao;Nao;IB - LOGISTICA;1372;1010;2;0;
